file & heat
auto (151x151) & auto (2000) & None & None & onlyobj (1000000) & [-0.0053287604, 0.0040377672] (45.56\%) & 1m0s & sdp+onlyobj-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (1000000) & [-0.0053480015, 0.0040387270] (45.66\%) & 1m1s & sdp+onlyobj-z, 99.7% \\ \hline
None & None  & None & None & all order-2 (5000000) & [-0.0083762344, 0.0047881057] (64.04\%) & 3.01s & all2-z, 95% \\ \hline
None & None  & None & None & all order-2 (5000000) & [-0.0083897047, 0.0048015761] (64.17\%) & 3.08s & all2-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (5000000) & [-0.0028075008, 0.0039052644] (32.65\%) & 1m2s & sdp+all2-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-2 (5000000) & [-0.0028952561, 0.0039198757] (33.15\%) & 58.50s & sdp+all2-z, 99.7% \\ \hline
None & None  & None & None & all order-3 (5000000) & [-0.0085222014, 0.0049079645] (65.33\%) & 3.59s & all3-z, 95% \\ \hline
None & None  & None & None & all order-3 (5000000) & [-0.0085505505, 0.0049363137] (65.61\%) & 4.03s & all3-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (5000000) & [-0.0037897789, 0.0039708054] (37.75\%) & 59.39s & sdp+all3-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & all order-3 (5000000) & [-0.0039577101, 0.0039971704] (38.70\%) & 59.02s & sdp+all3-z, 99.7% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083106773, 0.0047442226] (63.50\%) & 2.85s & auto100-z, 95% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083171224, 0.0047506677] (63.57\%) & 2.29s & auto100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0026075466, 0.0038476273] (31.40\%) & 59.02s & sdp+auto100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0026823351, 0.0038605120] (31.83\%) & 1m0s & sdp+auto100-z, 99.7% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083106773, 0.0047442226] (63.50\%) & 2.31s & auto200-z, 95% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083171224, 0.0047506677] (63.57\%) & 2.32s & auto200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0026601909, 0.0038877176] (31.85\%) & 56.67s & sdp+auto200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0027780409, 0.0039041337] (32.50\%) & 56.77s & sdp+auto200-z, 99.7% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083106773, 0.0047442226] (63.50\%) & 2.82s & first50-z, 95% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083171224, 0.0047506677] (63.57\%) & 2.87s & first50-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0001919921, 0.0038347922] (19.59\%) & 59.72s & sdp+first50-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0003401769, 0.0038599639] (20.43\%) & 1m0s & sdp+first50-z, 99.7% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083106773, 0.0047442226] (63.50\%) & 2.30s & first100-z, 95% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083171224, 0.0047506677] (63.57\%) & 2.31s & first100-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [0.0000759309, 0.0038758695] (18.48\%) & 1m0s & sdp+first100-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0001469094, 0.0038882147] (19.63\%) & 1m3s & sdp+first100-z, 99.7% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083106773, 0.0047442226] (63.50\%) & 2.30s & first200-z, 95% \\ \hline
None & None  & None & None & auto (5000000) & [-0.0083171224, 0.0047506677] (63.57\%) & 2.31s & first200-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0006234035, 0.0039106049] (22.06\%) & 59.77s & sdp+first200-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & auto (5000000) & [-0.0009091651, 0.0039275929] (23.53\%) & 59.90s & sdp+first200-z, 99.7% \\ \hline
None & None  & None & None & onlyobj (5000000) & [-0.0082900215, 0.0047183537] (63.28\%) & 2.76s & onlyobj-z, 95% \\ \hline
None & None  & None & None & onlyobj (5000000) & [-0.0082929472, 0.0047212795] (63.31\%) & 2.27s & onlyobj-z, 99.7% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (5000000) & [-0.0052783873, 0.0040352739] (45.31\%) & 1m2s & sdp+onlyobj-z, 95% \\ \hline
auto (151x151) & auto (2000) & None & None & onlyobj (5000000) & [-0.0052876812, 0.0040358228] (45.35\%) & 1m3s & sdp+onlyobj-z, 99.7% \\ \hline
None & None  & None & None & all order-2 (10000000) & [-0.0083359886, 0.0047754492] (63.78\%) & 2.98s & all2-z, 95% \\ \hline
